id,name,description,image_url,unit_price,bulk_discount_price,minimum_order_quantity,created_at,updated_at
48,Product 48,Description for Product 48,https://via.placeholder.com/150?text=Product+48,373.02,214.99,27,2024-06-21 02:02:54,2024-06-21 02:02:54
49,Product 49,Description for Product 49,https://via.placeholder.com/150?text=Product+49,128.33,87.96,31,2024-10-27 02:02:54,2024-10-27 02:02:54
50,Product 50,Description for Product 50,https://via.placeholder.com/150?text=Product+50,10.59,8.43,17,2024-05-10 02:02:54,2024-05-10 02:02:54
51,Product 51,Description for Product 51,https://via.placeholder.com/150?text=Product+51,450.26,340.52,48,2024-01-29 02:02:54,2024-01-29 02:02:54
52,Product 52,Description for Product 52,https://via.placeholder.com/150?text=Product+52,92.4,46.21,21,2024-11-05 02:02:54,2024-11-05 02:02:54
53,Product 53,Description for Product 53,https://via.placeholder.com/150?text=Product+53,302.04,207.96,19,2024-09-13 02:02:54,2024-09-13 02:02:54
54,Product 54,Description for Product 54,https://via.placeholder.com/150?text=Product+54,320.41,164.01,43,2024-04-01 02:02:54,2024-04-01 02:02:54
55,Product 55,Description for Product 55,https://via.placeholder.com/150?text=Product+55,281.47,200.12,5,2024-04-22 02:02:54,2024-04-22 02:02:54
56,Product 56,Description for Product 56,https://via.placeholder.com/150?text=Product+56,108.35,61.79,8,2024-06-10 02:02:54,2024-06-10 02:02:54
57,Product 57,Description for Product 57,https://via.placeholder.com/150?text=Product+57,222.36,190.0,10,2024-09-03 02:02:54,2024-09-03 02:02:54
58,Product 58,Description for Product 58,https://via.placeholder.com/150?text=Product+58,445.57,236.81,40,2024-05-01 02:02:54,2024-05-01 02:02:54
59,Product 59,Description for Product 59,https://via.placeholder.com/150?text=Product+59,233.9,150.09,14,2024-12-02 02:02:54,2024-12-02 02:02:54
60,Product 60,Description for Product 60,https://via.placeholder.com/150?text=Product+60,400.24,283.09,43,2024-11-17 02:02:54,2024-11-17 02:02:54
61,Product 61,Description for Product 61,https://via.placeholder.com/150?text=Product+61,220.0,132.15,29,2024-05-21 02:02:54,2024-05-21 02:02:54
62,Product 62,Description for Product 62,https://via.placeholder.com/150?text=Product+62,409.04,299.11,15,2024-01-11 02:02:54,2024-01-11 02:02:54
63,Product 63,Description for Product 63,https://via.placeholder.com/150?text=Product+63,238.13,133.53,33,2024-02-25 02:02:54,2024-02-25 02:02:54
64,Product 64,Description for Product 64,https://via.placeholder.com/150?text=Product+64,302.19,214.86,16,2024-11-20 02:02:54,2024-11-20 02:02:54
65,Product 65,Description for Product 65,https://via.placeholder.com/150?text=Product+65,249.11,178.53,42,2024-08-29 02:02:54,2024-08-29 02:02:54
66,Product 66,Description for Product 66,https://via.placeholder.com/150?text=Product+66,70.55,38.72,35,2024-11-21 02:02:54,2024-11-21 02:02:54
67,Product 67,Description for Product 67,https://via.placeholder.com/150?text=Product+67,111.32,105.68,9,2024-10-27 02:02:54,2024-10-27 02:02:54
68,Product 68,Description for Product 68,https://via.placeholder.com/150?text=Product+68,425.97,320.43,15,2024-02-19 02:02:54,2024-02-19 02:02:54
69,Product 69,Description for Product 69,https://via.placeholder.com/150?text=Product+69,234.37,131.51,46,2024-03-01 02:02:54,2024-03-01 02:02:54
70,Product 70,Description for Product 70,https://via.placeholder.com/150?text=Product+70,468.06,284.48,20,2024-08-10 02:02:54,2024-08-10 02:02:54
71,Product 71,Description for Product 71,https://via.placeholder.com/150?text=Product+71,320.48,270.04,42,2024-08-31 02:02:54,2024-08-31 02:02:54
72,Product 72,Description for Product 72,https://via.placeholder.com/150?text=Product+72,308.36,217.74,37,2024-10-14 02:02:54,2024-10-14 02:02:54
73,Product 73,Description for Product 73,https://via.placeholder.com/150?text=Product+73,110.7,81.56,23,2024-08-01 02:02:54,2024-08-01 02:02:54
74,Product 74,Description for Product 74,https://via.placeholder.com/150?text=Product+74,268.6,223.39,15,2024-01-25 02:02:54,2024-01-25 02:02:54
75,Product 75,Description for Product 75,https://via.placeholder.com/150?text=Product+75,404.63,354.36,7,2024-10-10 02:02:54,2024-10-10 02:02:54
76,Product 76,Description for Product 76,https://via.placeholder.com/150?text=Product+76,31.15,17.99,26,2024-06-03 02:02:54,2024-06-03 02:02:54
77,Product 77,Description for Product 77,https://via.placeholder.com/150?text=Product+77,280.49,224.72,5,2024-04-28 02:02:54,2024-04-28 02:02:54
78,Product 78,Description for Product 78,https://via.placeholder.com/150?text=Product+78,120.92,66.98,22,2024-06-04 02:02:54,2024-06-04 02:02:54
79,Product 79,Description for Product 79,https://via.placeholder.com/150?text=Product+79,266.08,233.58,45,2024-11-01 02:02:54,2024-11-01 02:02:54
80,Product 80,Description for Product 80,https://via.placeholder.com/150?text=Product+80,286.39,177.64,10,2024-03-04 02:02:54,2024-03-04 02:02:54
81,Product 81,Description for Product 81,https://via.placeholder.com/150?text=Product+81,41.04,27.67,44,2024-06-17 02:02:54,2024-06-17 02:02:54
82,Product 82,Description for Product 82,https://via.placeholder.com/150?text=Product+82,456.87,259.59,25,2024-06-18 02:02:54,2024-06-18 02:02:54
83,Product 83,Description for Product 83,https://via.placeholder.com/150?text=Product+83,402.65,292.21,32,2024-10-23 02:02:54,2024-10-23 02:02:54
84,Product 84,Description for Product 84,https://via.placeholder.com/150?text=Product+84,331.98,207.9,6,2024-09-25 02:02:54,2024-09-25 02:02:54
85,Product 85,Description for Product 85,https://via.placeholder.com/150?text=Product+85,460.13,242.02,8,2024-02-07 02:02:54,2024-02-07 02:02:54
86,Product 86,Description for Product 86,https://via.placeholder.com/150?text=Product+86,254.51,176.8,27,2024-08-31 02:02:54,2024-08-31 02:02:54
87,Product 87,Description for Product 87,https://via.placeholder.com/150?text=Product+87,264.48,185.19,48,2024-01-26 02:02:54,2024-01-26 02:02:54
88,Product 88,Description for Product 88,https://via.placeholder.com/150?text=Product+88,235.08,145.1,45,2024-04-14 02:02:54,2024-04-14 02:02:54
89,Product 89,Description for Product 89,https://via.placeholder.com/150?text=Product+89,115.35,89.09,36,2024-08-26 02:02:54,2024-08-26 02:02:54
90,Product 90,Description for Product 90,https://via.placeholder.com/150?text=Product+90,497.62,369.61,46,2024-03-27 02:02:54,2024-03-27 02:02:54
91,Product 91,Description for Product 91,https://via.placeholder.com/150?text=Product+91,451.35,237.95,28,2024-06-25 02:02:54,2024-06-25 02:02:54
92,Product 92,Description for Product 92,https://via.placeholder.com/150?text=Product+92,197.51,165.17,10,2024-11-29 02:02:54,2024-11-29 02:02:54
93,Product 93,Description for Product 93,https://via.placeholder.com/150?text=Product+93,240.15,141.04,18,2023-12-05 02:02:54,2023-12-05 02:02:54
94,Product 94,Description for Product 94,https://via.placeholder.com/150?text=Product+94,51.34,33.63,16,2024-01-14 02:02:54,2024-01-14 02:02:54
95,Product 95,Description for Product 95,https://via.placeholder.com/150?text=Product+95,133.94,115.19,36,2024-02-11 02:02:54,2024-02-11 02:02:54
96,Product 96,Description for Product 96,https://via.placeholder.com/150?text=Product+96,245.17,214.93,49,2024-01-22 02:02:54,2024-01-22 02:02:54
97,Product 97,Description for Product 97,https://via.placeholder.com/150?text=Product+97,216.69,189.69,7,2023-12-14 02:02:54,2023-12-14 02:02:54
98,Product 98,Description for Product 98,https://via.placeholder.com/150?text=Product+98,374.36,192.22,13,2024-10-27 02:02:54,2024-10-27 02:02:54
99,Product 99,Description for Product 99,https://via.placeholder.com/150?text=Product+99,445.87,260.19,11,2024-11-13 02:02:54,2024-11-13 02:02:54
100,Product 100,Description for Product 100,https://via.placeholder.com/150?text=Product+100,372.21,268.85,21,2024-11-25 02:02:54,2024-11-25 02:02:54
101,Product 101,Description for Product 101,https://via.placeholder.com/150?text=Product+101,368.02,260.3,16,2024-07-14 02:02:54,2024-07-14 02:02:54
102,Product 102,Description for Product 102,https://via.placeholder.com/150?text=Product+102,172.58,137.12,40,2024-02-29 02:02:54,2024-02-29 02:02:54
103,Product 103,Description for Product 103,https://via.placeholder.com/150?text=Product+103,442.11,359.69,44,2024-01-01 02:02:54,2024-01-01 02:02:54
104,Product 104,Description for Product 104,https://via.placeholder.com/150?text=Product+104,42.02,29.02,7,2024-05-14 02:02:54,2024-05-14 02:02:54
105,Product 105,Description for Product 105,https://via.placeholder.com/150?text=Product+105,443.75,247.36,46,2024-01-16 02:02:54,2024-01-16 02:02:54
106,Product 106,Description for Product 106,https://via.placeholder.com/150?text=Product+106,281.58,176.52,15,2024-05-13 02:02:54,2024-05-13 02:02:54
107,Product 107,Description for Product 107,https://via.placeholder.com/150?text=Product+107,62.03,50.22,45,2024-04-15 02:02:54,2024-04-15 02:02:54
108,Product 108,Description for Product 108,https://via.placeholder.com/150?text=Product+108,78.34,56.73,28,2024-02-10 02:02:54,2024-02-10 02:02:54
109,Product 109,Description for Product 109,https://via.placeholder.com/150?text=Product+109,298.67,236.96,45,2024-04-30 02:02:54,2024-04-30 02:02:54
110,Product 110,Description for Product 110,https://via.placeholder.com/150?text=Product+110,486.92,368.14,18,2024-05-13 02:02:54,2024-05-13 02:02:54
111,Product 111,Description for Product 111,https://via.placeholder.com/150?text=Product+111,294.28,178.8,20,2024-02-19 02:02:54,2024-02-19 02:02:54
112,Product 112,Description for Product 112,https://via.placeholder.com/150?text=Product+112,215.58,163.87,46,2024-06-12 02:02:54,2024-06-12 02:02:54
113,Product 113,Description for Product 113,https://via.placeholder.com/150?text=Product+113,485.61,430.49,45,2024-11-10 02:02:54,2024-11-10 02:02:54
114,Product 114,Description for Product 114,https://via.placeholder.com/150?text=Product+114,323.2,255.4,44,2024-05-04 02:02:54,2024-05-04 02:02:54
115,Product 115,Description for Product 115,https://via.placeholder.com/150?text=Product+115,380.57,226.55,29,2023-12-18 02:02:54,2023-12-18 02:02:54
116,Product 116,Description for Product 116,https://via.placeholder.com/150?text=Product+116,344.06,315.25,26,2024-09-11 02:02:54,2024-09-11 02:02:54
117,Product 117,Description for Product 117,https://via.placeholder.com/150?text=Product+117,313.06,287.78,18,2024-05-17 02:02:54,2024-05-17 02:02:54
118,Product 118,Description for Product 118,https://via.placeholder.com/150?text=Product+118,53.07,31.92,10,2024-05-02 02:02:54,2024-05-02 02:02:54
119,Product 119,Description for Product 119,https://via.placeholder.com/150?text=Product+119,285.28,187.29,34,2024-08-04 02:02:54,2024-08-04 02:02:54
120,Product 120,Description for Product 120,https://via.placeholder.com/150?text=Product+120,336.41,276.19,27,2023-12-08 02:02:54,2023-12-08 02:02:54
121,Product 121,Description for Product 121,https://via.placeholder.com/150?text=Product+121,32.77,28.92,31,2023-12-05 02:02:54,2023-12-05 02:02:54
122,Product 122,Description for Product 122,https://via.placeholder.com/150?text=Product+122,408.42,282.77,39,2024-09-18 02:02:54,2024-09-18 02:02:54
123,Product 123,Description for Product 123,https://via.placeholder.com/150?text=Product+123,78.04,65.62,28,2024-05-27 02:02:54,2024-05-27 02:02:54
124,Product 124,Description for Product 124,https://via.placeholder.com/150?text=Product+124,113.91,60.01,34,2024-01-02 02:02:54,2024-01-02 02:02:54
125,Product 125,Description for Product 125,https://via.placeholder.com/150?text=Product+125,198.62,153.34,26,2024-02-24 02:02:54,2024-02-24 02:02:54
126,Product 126,Description for Product 126,https://via.placeholder.com/150?text=Product+126,173.89,125.14,24,2024-06-20 02:02:54,2024-06-20 02:02:54
127,Product 127,Description for Product 127,https://via.placeholder.com/150?text=Product+127,334.75,251.95,38,2024-07-26 02:02:54,2024-07-26 02:02:54
128,Product 128,Description for Product 128,https://via.placeholder.com/150?text=Product+128,312.18,215.75,22,2024-11-08 02:02:54,2024-11-08 02:02:54
129,Product 129,Description for Product 129,https://via.placeholder.com/150?text=Product+129,463.96,247.27,41,2024-03-12 02:02:54,2024-03-12 02:02:54
130,Product 130,Description for Product 130,https://via.placeholder.com/150?text=Product+130,184.99,147.08,40,2024-02-09 02:02:54,2024-02-09 02:02:54
131,Product 131,Description for Product 131,https://via.placeholder.com/150?text=Product+131,167.27,116.97,42,2024-01-31 02:02:54,2024-01-31 02:02:54
132,Product 132,Description for Product 132,https://via.placeholder.com/150?text=Product+132,447.4,292.36,9,2024-05-27 02:02:54,2024-05-27 02:02:54
133,Product 133,Description for Product 133,https://via.placeholder.com/150?text=Product+133,50.71,37.34,7,2024-09-30 02:02:54,2024-09-30 02:02:54
134,Product 134,Description for Product 134,https://via.placeholder.com/150?text=Product+134,123.87,67.83,16,2024-07-02 02:02:54,2024-07-02 02:02:54
135,Product 135,Description for Product 135,https://via.placeholder.com/150?text=Product+135,419.97,305.07,22,2024-10-04 02:02:54,2024-10-04 02:02:54
136,Product 136,Description for Product 136,https://via.placeholder.com/150?text=Product+136,114.72,72.3,50,2024-04-06 02:02:54,2024-04-06 02:02:54
137,Product 137,Description for Product 137,https://via.placeholder.com/150?text=Product+137,358.3,299.37,9,2024-02-05 02:02:54,2024-02-05 02:02:54
138,Product 138,Description for Product 138,https://via.placeholder.com/150?text=Product+138,397.52,238.45,9,2024-07-09 02:02:54,2024-07-09 02:02:54
139,Product 139,Description for Product 139,https://via.placeholder.com/150?text=Product+139,366.31,322.63,44,2024-05-05 02:02:54,2024-05-05 02:02:54
140,Product 140,Description for Product 140,https://via.placeholder.com/150?text=Product+140,200.89,106.23,8,2024-04-17 02:02:54,2024-04-17 02:02:54
141,Product 141,Description for Product 141,https://via.placeholder.com/150?text=Product+141,331.63,265.7,46,2024-10-12 02:02:54,2024-10-12 02:02:54
142,Product 142,Description for Product 142,https://via.placeholder.com/150?text=Product+142,273.51,245.2,50,2024-09-07 02:02:54,2024-09-07 02:02:54
143,Product 143,Description for Product 143,https://via.placeholder.com/150?text=Product+143,282.47,186.45,50,2024-04-23 02:02:54,2024-04-23 02:02:54
144,Product 144,Description for Product 144,https://via.placeholder.com/150?text=Product+144,325.51,200.18,47,2024-01-21 02:02:54,2024-01-21 02:02:54
145,Product 145,Description for Product 145,https://via.placeholder.com/150?text=Product+145,282.79,234.57,39,2023-12-09 02:02:54,2023-12-09 02:02:54
146,Product 146,Description for Product 146,https://via.placeholder.com/150?text=Product+146,174.46,137.04,16,2024-09-12 02:02:54,2024-09-12 02:02:54
147,Product 147,Description for Product 147,https://via.placeholder.com/150?text=Product+147,316.13,292.02,44,2024-03-27 02:02:54,2024-03-27 02:02:54
148,Product 148,Description for Product 148,https://via.placeholder.com/150?text=Product+148,442.64,409.01,15,2024-01-10 02:02:54,2024-01-10 02:02:54
149,Product 149,Description for Product 149,https://via.placeholder.com/150?text=Product+149,157.17,107.52,33,2024-01-31 02:02:54,2024-01-31 02:02:54
150,Product 150,Description for Product 150,https://via.placeholder.com/150?text=Product+150,340.64,322.0,9,2024-10-15 02:02:54,2024-10-15 02:02:54
151,Product 151,Description for Product 151,https://via.placeholder.com/150?text=Product+151,341.45,274.08,15,2024-03-17 02:02:54,2024-03-17 02:02:54
152,Product 152,Description for Product 152,https://via.placeholder.com/150?text=Product+152,430.41,368.83,7,2024-02-24 02:02:54,2024-02-24 02:02:54
153,Product 153,Description for Product 153,https://via.placeholder.com/150?text=Product+153,90.54,69.0,21,2024-11-07 02:02:54,2024-11-07 02:02:54
154,Product 154,Description for Product 154,https://via.placeholder.com/150?text=Product+154,295.53,234.78,25,2024-02-21 02:02:54,2024-02-21 02:02:54
155,Product 155,Description for Product 155,https://via.placeholder.com/150?text=Product+155,311.5,259.0,5,2024-04-15 02:02:54,2024-04-15 02:02:54
156,Product 156,Description for Product 156,https://via.placeholder.com/150?text=Product+156,485.83,319.58,30,2024-01-27 02:02:54,2024-01-27 02:02:54
157,Product 157,Description for Product 157,https://via.placeholder.com/150?text=Product+157,345.39,308.49,41,2024-11-08 02:02:54,2024-11-08 02:02:54
158,Product 158,Description for Product 158,https://via.placeholder.com/150?text=Product+158,319.82,259.04,41,2024-05-24 02:02:54,2024-05-24 02:02:54
159,Product 159,Description for Product 159,https://via.placeholder.com/150?text=Product+159,362.42,252.9,43,2024-04-20 02:02:54,2024-04-20 02:02:54
160,Product 160,Description for Product 160,https://via.placeholder.com/150?text=Product+160,88.86,53.43,24,2024-01-26 02:02:54,2024-01-26 02:02:54
161,Product 161,Description for Product 161,https://via.placeholder.com/150?text=Product+161,132.11,80.0,19,2024-05-02 02:02:54,2024-05-02 02:02:54
162,Product 162,Description for Product 162,https://via.placeholder.com/150?text=Product+162,244.16,122.22,21,2024-01-19 02:02:54,2024-01-19 02:02:54
163,Product 163,Description for Product 163,https://via.placeholder.com/150?text=Product+163,287.77,156.47,47,2024-04-29 02:02:54,2024-04-29 02:02:54
164,Product 164,Description for Product 164,https://via.placeholder.com/150?text=Product+164,292.41,214.4,40,2024-09-28 02:02:54,2024-09-28 02:02:54
165,Product 165,Description for Product 165,https://via.placeholder.com/150?text=Product+165,347.48,280.6,33,2024-10-07 02:02:54,2024-10-07 02:02:54
166,Product 166,Description for Product 166,https://via.placeholder.com/150?text=Product+166,168.62,114.65,31,2024-12-02 02:02:54,2024-12-02 02:02:54
167,Product 167,Description for Product 167,https://via.placeholder.com/150?text=Product+167,24.89,13.76,25,2023-12-31 02:02:54,2023-12-31 02:02:54
168,Product 168,Description for Product 168,https://via.placeholder.com/150?text=Product+168,109.37,102.2,29,2024-07-14 02:02:54,2024-07-14 02:02:54
169,Product 169,Description for Product 169,https://via.placeholder.com/150?text=Product+169,137.12,99.91,8,2023-12-19 02:02:54,2023-12-19 02:02:54
170,Product 170,Description for Product 170,https://via.placeholder.com/150?text=Product+170,315.22,186.37,41,2024-06-17 02:02:54,2024-06-17 02:02:54
171,Product 171,Description for Product 171,https://via.placeholder.com/150?text=Product+171,399.52,292.43,50,2024-08-18 02:02:54,2024-08-18 02:02:54
172,Product 172,Description for Product 172,https://via.placeholder.com/150?text=Product+172,258.85,176.89,30,2024-01-13 02:02:54,2024-01-13 02:02:54
173,Product 173,Description for Product 173,https://via.placeholder.com/150?text=Product+173,257.2,219.15,44,2024-05-25 02:02:54,2024-05-25 02:02:54
174,Product 174,Description for Product 174,https://via.placeholder.com/150?text=Product+174,364.91,282.97,33,2024-10-13 02:02:54,2024-10-13 02:02:54
175,Product 175,Description for Product 175,https://via.placeholder.com/150?text=Product+175,398.28,263.79,46,2024-09-03 02:02:54,2024-09-03 02:02:54
176,Product 176,Description for Product 176,https://via.placeholder.com/150?text=Product+176,391.01,284.21,13,2024-01-28 02:02:54,2024-01-28 02:02:54
177,Product 177,Description for Product 177,https://via.placeholder.com/150?text=Product+177,351.63,265.62,8,2024-05-09 02:02:54,2024-05-09 02:02:54
178,Product 178,Description for Product 178,https://via.placeholder.com/150?text=Product+178,159.15,111.62,32,2024-06-16 02:02:54,2024-06-16 02:02:54
179,Product 179,Description for Product 179,https://via.placeholder.com/150?text=Product+179,320.86,292.63,19,2024-01-07 02:02:54,2024-01-07 02:02:54
180,Product 180,Description for Product 180,https://via.placeholder.com/150?text=Product+180,176.52,163.22,38,2024-11-04 02:02:54,2024-11-04 02:02:54
181,Product 181,Description for Product 181,https://via.placeholder.com/150?text=Product+181,456.75,345.89,9,2024-03-10 02:02:54,2024-03-10 02:02:54
182,Product 182,Description for Product 182,https://via.placeholder.com/150?text=Product+182,272.07,175.03,20,2024-09-15 02:02:54,2024-09-15 02:02:54
183,Product 183,Description for Product 183,https://via.placeholder.com/150?text=Product+183,299.32,189.78,33,2024-04-04 02:02:54,2024-04-04 02:02:54
184,Product 184,Description for Product 184,https://via.placeholder.com/150?text=Product+184,97.11,57.5,30,2024-04-27 02:02:54,2024-04-27 02:02:54
185,Product 185,Description for Product 185,https://via.placeholder.com/150?text=Product+185,169.51,153.81,50,2024-11-01 02:02:54,2024-11-01 02:02:54
186,Product 186,Description for Product 186,https://via.placeholder.com/150?text=Product+186,395.98,234.74,39,2024-06-20 02:02:54,2024-06-20 02:02:54
187,Product 187,Description for Product 187,https://via.placeholder.com/150?text=Product+187,287.67,169.01,29,2024-04-13 02:02:54,2024-04-13 02:02:54
188,Product 188,Description for Product 188,https://via.placeholder.com/150?text=Product+188,246.67,126.25,25,2024-05-17 02:02:54,2024-05-17 02:02:54
189,Product 189,Description for Product 189,https://via.placeholder.com/150?text=Product+189,234.39,149.13,34,2024-09-22 02:02:54,2024-09-22 02:02:54
190,Product 190,Description for Product 190,https://via.placeholder.com/150?text=Product+190,79.87,53.9,20,2024-08-01 02:02:54,2024-08-01 02:02:54
191,Product 191,Description for Product 191,https://via.placeholder.com/150?text=Product+191,154.16,119.3,45,2024-04-17 02:02:54,2024-04-17 02:02:54
192,Product 192,Description for Product 192,https://via.placeholder.com/150?text=Product+192,22.96,18.47,38,2024-08-30 02:02:54,2024-08-30 02:02:54
193,Product 193,Description for Product 193,https://via.placeholder.com/150?text=Product+193,277.27,165.31,50,2024-08-15 02:02:54,2024-08-15 02:02:54
194,Product 194,Description for Product 194,https://via.placeholder.com/150?text=Product+194,237.71,185.08,32,2024-11-16 02:02:54,2024-11-16 02:02:54
195,Product 195,Description for Product 195,https://via.placeholder.com/150?text=Product+195,207.76,163.47,15,2024-03-11 02:02:54,2024-03-11 02:02:54
